mqtt.js:5 s1: {"acc_x":-5.901707172,"acc_y":0.81642276,"acc_z":9.284713745,"rot_x":0.956866801,"rot_y":-1.038137794,"rot_z":0.136695251}
mqtt.js:5 s1: {"acc_x":-0.723048925,"acc_y":-0.287304193,"acc_z":7.381323814,"rot_x":0.009592649,"rot_y":-0.200379789,"rot_z":-0.076474734}
mqtt.js:5 s1: {"acc_x":-0.59376204,"acc_y":-0.299275219,"acc_z":7.177816868,"rot_x":-0.031176111,"rot_y":-0.053825419,"rot_z":-0.017320061}
mqtt.js:5 s1: {"acc_x":-0.67037648,"acc_y":-0.402225882,"acc_z":7.098807812,"rot_x":-0.053825419,"rot_y":0.112447165,"rot_z":0.051693719}
mqtt.js:5 s1: {"acc_x":-0.861912608,"acc_y":-0.330399841,"acc_z":7.307103634,"rot_x":-0.07993874,"rot_y":0.259267986,"rot_z":0.274456352}
mqtt.js:5 s1: {"acc_x":-0.768538773,"acc_y":-0.035913024,"acc_z":7.726089001,"rot_x":-0.079405814,"rot_y":0.406355262,"rot_z":0.23528637}
mqtt.js:5 s1: {"acc_x":-0.797269166,"acc_y":-0.222660765,"acc_z":8.322244644,"rot_x":-0.069013782,"rot_y":0.560903549,"rot_z":0.239283308}
mqtt.js:5 s1: {"acc_x":-0.972045898,"acc_y":-0.117315881,"acc_z":9.109937668,"rot_x":-0.083669223,"rot_y":0.741565049,"rot_z":0.337341517}
mqtt.js:5 s1: {"acc_x":-1.094150186,"acc_y":-0.088585466,"acc_z":9.962273598,"rot_x":-0.074609496,"rot_y":0.912367582,"rot_z":0.332811654}
mqtt.js:5 s1: {"acc_x":-1.216254473,"acc_y":0.093373865,"acc_z":10.98220348,"rot_x":-0.073543645,"rot_y":1.069580436,"rot_z":0.361589581}
mqtt.js:5 s1: {"acc_x":-1.027112484,"acc_y":0.071826048,"acc_z":11.9566431,"rot_x":-0.021316998,"rot_y":1.213470101,"rot_z":0.35839203}
mqtt.js:5 s1: {"acc_x":-1.63763392,"acc_y":0.136469498,"acc_z":12.99093819,"rot_x":0.026379786,"rot_y":1.344569683,"rot_z":0.391699851}
mqtt.js:5 s1: {"acc_x":-1.632845521,"acc_y":-0.02873042,"acc_z":14.00847435,"rot_x":0.076741189,"rot_y":1.437564969,"rot_z":0.345068902}
mqtt.js:5 s1: {"acc_x":-1.443703651,"acc_y":-0.057460841,"acc_z":14.74349403,"rot_x":0.137761101,"rot_y":1.546281815,"rot_z":0.158278719}
mqtt.js:5 s1: {"acc_x":-0.466869324,"acc_y":0.002394202,"acc_z":15.36838055,"rot_x":0.146820813,"rot_y":1.566266418,"rot_z":0.167871356}
mqtt.js:5 s1: {"acc_x":0.198718742,"acc_y":-0.201112941,"acc_z":15.50006199,"rot_x":0.231289431,"rot_y":1.509243488,"rot_z":0.115378261}
mqtt.js:5 s1: {"acc_x":1.355118155,"acc_y":-0.067037649,"acc_z":15.36838055,"rot_x":0.192652375,"rot_y":1.418379784,"rot_z":0.166272581}
mqtt.js:5 s1: {"acc_x":1.244984865,"acc_y":0.038307227,"acc_z":14.72673512,"rot_x":0.148952529,"rot_y":1.412517548,"rot_z":0.245411947}
mqtt.js:5 s1: {"acc_x":1.106121182,"acc_y":-0.10295067,"acc_z":14.06593513,"rot_x":0.223562017,"rot_y":1.370682955,"rot_z":0.16573967}
mqtt.js:5 s1: {"acc_x":0.988805294,"acc_y":-0.076614454,"acc_z":13.26387787,"rot_x":0.172134757,"rot_y":1.362422585,"rot_z":0.081537522}
mqtt.js:5 s1: {"acc_x":1.237802267,"acc_y":-0.090979666,"acc_z":12.36126328,"rot_x":0.21663399,"rot_y":1.296073556,"rot_z":0.07301072}
mqtt.js:5 s1: {"acc_x":1.139639974,"acc_y":-0.280121595,"acc_z":11.46822643,"rot_x":0.21503523,"rot_y":1.162042856,"rot_z":0.074343033}
mqtt.js:5 s1: {"acc_x":1.252167463,"acc_y":-0.40940848,"acc_z":10.53448772,"rot_x":0.159078106,"rot_y":1.067981601,"rot_z":0.005329249}
mqtt.js:5 s1: {"acc_x":1.520318031,"acc_y":-0.265756398,"acc_z":9.689333916,"rot_x":0.048762634,"rot_y":0.894514501,"rot_z":-0.034640122}
mqtt.js:5 s1: {"acc_x":1.70946002,"acc_y":-0.248996973,"acc_z":8.863334656,"rot_x":0.027445635,"rot_y":0.625920355,"rot_z":-0.000266462}
mqtt.js:5 s1: {"acc_x":1.539471745,"acc_y":-0.253785372,"acc_z":8.291120529,"rot_x":0.097791731,"rot_y":0.340006143,"rot_z":0.04103522}
mqtt.js:5 s1: {"acc_x":1.170764685,"acc_y":-0.478840351,"acc_z":7.735665798,"rot_x":0.029577335,"rot_y":0.168670759,"rot_z":0.004796324}
mqtt.js:5 s1: {"acc_x":1.209071875,"acc_y":-0.404620081,"acc_z":7.469909191,"rot_x":-0.061286367,"rot_y":0.05249311,"rot_z":-0.052759573}
mqtt.js:5 s1: {"acc_x":1.398213744,"acc_y":-0.320823014,"acc_z":7.477091789,"rot_x":-0.028245023,"rot_y":-0.116444103,"rot_z":-0.128434911}
mqtt.js:5 s1: {"acc_x":1.527500629,"acc_y":-0.292092621,"acc_z":7.623138428,"rot_x":-0.066882081,"rot_y":-0.257935673,"rot_z":-0.12230628}
mqtt.js:5 s1: {"acc_x":1.52510643,"acc_y":-0.33279404,"acc_z":7.979874134,"rot_x":-0.071678407,"rot_y":-0.412750393,"rot_z":-0.115911178}
mqtt.js:5 s1: {"acc_x":1.493981838,"acc_y":-0.253785372,"acc_z":8.583212852,"rot_x":-0.126569673,"rot_y":-0.5339908,"rot_z":-0.140159264}
mqtt.js:5 s1: {"acc_x":1.505952835,"acc_y":-0.256179571,"acc_z":9.3685112,"rot_x":-0.138027564,"rot_y":-0.66695559,"rot_z":-0.177730486}
mqtt.js:5 s1: {"acc_x":1.570596337,"acc_y":-0.076614454,"acc_z":10.24957752,"rot_x":-0.080471672,"rot_y":-0.873197496,"rot_z":-0.186257273}
mqtt.js:5 s1: {"acc_x":1.434126854,"acc_y":-0.351947635,"acc_z":11.10909557,"rot_x":-0.10178867,"rot_y":-1.011491537,"rot_z":-0.18385911}
mqtt.js:5 s1: {"acc_x":1.386242747,"acc_y":-0.246602774,"acc_z":12.08832455,"rot_x":-0.170269519,"rot_y":-1.096226692,"rot_z":-0.228358343}
mqtt.js:5 s1: {"acc_x":1.362300754,"acc_y":-0.287304193,"acc_z":13.04839897,"rot_x":-0.180128634,"rot_y":-1.245978594,"rot_z":-0.232888207}
mqtt.js:5 s1: {"acc_x":1.00317049,"acc_y":-0.169988319,"acc_z":13.91270638,"rot_x":-0.16467382,"rot_y":-1.359758019,"rot_z":-0.244346097}
mqtt.js:5 s1: {"acc_x":0.672770679,"acc_y":0.062249243,"acc_z":14.52562141,"rot_x":-0.153748855,"rot_y":-1.462346196,"rot_z":-0.264064312}
mqtt.js:5 s1: {"acc_x":0.694318473,"acc_y":-0.069431849,"acc_z":14.94939518,"rot_x":-0.103120975,"rot_y":-1.527362943,"rot_z":-0.289911181}
mqtt.js:5 s1: {"acc_x":0.517147541,"acc_y":0.069431849,"acc_z":15.10262394,"rot_x":0.015721286,"rot_y":-1.618226647,"rot_z":-0.320287883}
mqtt.js:5 s1: {"acc_x":0.004788403,"acc_y":0,"acc_z":15.08347034,"rot_x":0.06981317,"rot_y":-1.59984076,"rot_z":-0.353862166}
mqtt.js:5 s1: {"acc_x":-0.390254885,"acc_y":0.069431849,"acc_z":14.63814926,"rot_x":0.00319755,"rot_y":-1.478067279,"rot_z":-0.32934764}
mqtt.js:5 s1: {"acc_x":-0.081402861,"acc_y":-0.04070143,"acc_z":14.04678154,"rot_x":-0.042367533,"rot_y":-1.378410339,"rot_z":-0.398361385}
mqtt.js:5 s1: {"acc_x":0.057460841,"acc_y":-0.308852017,"acc_z":13.30697346,"rot_x":0.019451762,"rot_y":-1.369084239,"rot_z":-0.306698322}
mqtt.js:5 s1: {"acc_x":-0.08379706,"acc_y":-0.18435353,"acc_z":12.48576164,"rot_x":-0.021050537,"rot_y":-1.230257273,"rot_z":-0.286447167}
mqtt.js:5 s1: {"acc_x":-0.663193882,"acc_y":0.079008654,"acc_z":11.48019695,"rot_x":-0.015987748,"rot_y":-1.0658499,"rot_z":-0.26592955}
mqtt.js:5 s1: {"acc_x":-0.536301196,"acc_y":0.270544797,"acc_z":10.54406452,"rot_x":0.075408876,"rot_y":-0.886787176,"rot_z":-0.181993872}
mqtt.js:5 s1: {"acc_x":-0.806845963,"acc_y":-0.10055647,"acc_z":9.526528358,"rot_x":0.113779478,"rot_y":-0.701062799,"rot_z":-0.120441042}
mqtt.js:5 s1: {"acc_x":-0.758961916,"acc_y":0.038307227,"acc_z":8.690952301,"rot_x":0.006661562,"rot_y":-0.567565084,"rot_z":0.187589586}
mqtt.js:5 s1: {"acc_x":-0.038307227,"acc_y":-0.268150598,"acc_z":8.099584579,"rot_x":0.04103522,"rot_y":-0.403957129,"rot_z":0.255004585}
mqtt.js:5 s1: {"acc_x":-0.213083953,"acc_y":-0.476446152,"acc_z":7.55131197,"rot_x":0.037038282,"rot_y":-0.207840726,"rot_z":0.07993874}
mqtt.js:5 s1: {"acc_x":-0.37110126,"acc_y":-0.215478152,"acc_z":7.192182064,"rot_x":0.034640122,"rot_y":-0.051693719,"rot_z":0.085800916}
mqtt.js:5 s1: {"acc_x":-0.538695395,"acc_y":-0.124498487,"acc_z":7.158663273,"rot_x":-0.032774884,"rot_y":0.096725874,"rot_z":0.174266458}
mqtt.js:5 s1: {"acc_x":-0.440533102,"acc_y":-0.268150598,"acc_z":7.220912457,"rot_x":-0.09033078,"rot_y":0.251007646,"rot_z":0.222229704}
mqtt.js:5 s1: {"acc_x":-0.634463429,"acc_y":-0.227449164,"acc_z":7.55131197,"rot_x":-0.113513015,"rot_y":0.4103522,"rot_z":0.292042881}
mqtt.js:5 s1: {"acc_x":-0.78050977,"acc_y":-0.29688102,"acc_z":8.039729118,"rot_x":-0.16573967,"rot_y":0.561969399,"rot_z":0.47057274}
mqtt.js:5 s1: {"acc_x":-0.620098233,"acc_y":0.062249243,"acc_z":8.803479195,"rot_x":-0.217699856,"rot_y":0.705859125,"rot_z":0.639776468}
mqtt.js:5 s1: {"acc_x":-0.555454791,"acc_y":0.055066638,"acc_z":9.622296333,"rot_x":-0.038370594,"rot_y":0.856943309,"rot_z":0.487892807}
mqtt.js:5 s1: {"acc_x":-0.833182216,"acc_y":0.258573771,"acc_z":10.46984386,"rot_x":-0.034107197,"rot_y":1.020284891,"rot_z":0.573160827}
mqtt.js:5 s1: {"acc_x":-0.81881696,"acc_y":-0.29688102,"acc_z":11.48498535,"rot_x":0.050094947,"rot_y":1.193485379,"rot_z":0.534257293}
mqtt.js:5 s1: {"acc_x":-1.989581585,"acc_y":0.220266551,"acc_z":12.43308926,"rot_x":0.049562022,"rot_y":1.311528206,"rot_z":0.457249612}
mqtt.js:5 s1: {"acc_x":-1.912967205,"acc_y":-0.04309563,"acc_z":13.5128746,"rot_x":0.120441042,"rot_y":1.359225035,"rot_z":0.453252673}
mqtt.js:5 s1: {"acc_x":-1.22583127,"acc_y":-0.002394202,"acc_z":14.42745972,"rot_x":0.217966303,"rot_y":1.422110319,"rot_z":0.371182233}
mqtt.js:5 s1: {"acc_x":-0.48123455,"acc_y":0.04070143,"acc_z":15.1481142,"rot_x":0.282983154,"rot_y":1.441295624,"rot_z":0.2051761}
mqtt.js:5 s1: {"acc_x":0.229843363,"acc_y":-0.141257897,"acc_z":15.44978333,"rot_x":0.328015327,"rot_y":1.443427324,"rot_z":0.178796321}
mqtt.js:5 s1: {"acc_x":0.830788016,"acc_y":-0.244208574,"acc_z":15.42584133,"rot_x":0.336808592,"rot_y":1.385071993,"rot_z":0.22542727}
mqtt.js:5 s1: {"acc_x":0.998382092,"acc_y":-0.565031588,"acc_z":15.02840424,"rot_x":0.343470156,"rot_y":1.389868379,"rot_z":0.22489433}
mqtt.js:5 s1: {"acc_x":1.058237195,"acc_y":-0.679953277,"acc_z":14.40112305,"rot_x":0.267528325,"rot_y":1.401592612,"rot_z":0.026113322}
mqtt.js:5 s1: {"acc_x":0.984016895,"acc_y":-0.052672438,"acc_z":13.73314095,"rot_x":0.310162336,"rot_y":1.340039849,"rot_z":0.044499233}
mqtt.js:5 s1: {"acc_x":0.924161851,"acc_y":-0.493205547,"acc_z":12.83052731,"rot_x":0.317090333,"rot_y":1.316857457,"rot_z":0.069013782}
mqtt.js:5 s1: {"acc_x":1.285686255,"acc_y":-0.421379507,"acc_z":12.10268974,"rot_x":0.238483921,"rot_y":1.303800941,"rot_z":-0.042367533}
mqtt.js:5 s1: {"acc_x":1.556231141,"acc_y":-0.656011283,"acc_z":11.14022064,"rot_x":0.054091886,"rot_y":1.118076563,"rot_z":-0.064217456}
mqtt.js:5 s1: {"acc_x":1.438915253,"acc_y":-0.289698392,"acc_z":10.22802925,"rot_x":0.202511474,"rot_y":0.897179127,"rot_z":-0.120441042}
mqtt.js:5 s1: {"acc_x":1.340752959,"acc_y":-0.366312861,"acc_z":9.414001465,"rot_x":0.187323123,"rot_y":0.62645334,"rot_z":-0.069013782}
mqtt.js:5 s1: {"acc_x":1.103726983,"acc_y":-0.677559078,"acc_z":8.544905663,"rot_x":0.142024502,"rot_y":0.415415019,"rot_z":-0.100989282}
mqtt.js:5 s1: {"acc_x":1.170764685,"acc_y":-0.962469101,"acc_z":7.833827972,"rot_x":-0.018918836,"rot_y":0.346134782,"rot_z":-0.187856048}
mqtt.js:5 s1: {"acc_x":1.505952835,"acc_y":-0.622492433,"acc_z":7.601590633,"rot_x":-0.0042634,"rot_y":0.274989277,"rot_z":-0.201712102}
mqtt.js:5 s1: {"acc_x":1.611297727,"acc_y":-0.538695395,"acc_z":7.350199223,"rot_x":-0.053292494,"rot_y":0.152150065,"rot_z":-0.210505351}
mqtt.js:5 s1: {"acc_x":1.845929503,"acc_y":-0.354341865,"acc_z":7.524975777,"rot_x":-0.064217456,"rot_y":0.027445635,"rot_z":-0.25553751}
mqtt.js:5 s1: {"acc_x":1.754949808,"acc_y":-0.641646028,"acc_z":7.809885979,"rot_x":-0.129767224,"rot_y":-0.207041353,"rot_z":-0.255803972}
mqtt.js:5 s1: {"acc_x":1.845929503,"acc_y":-0.459686726,"acc_z":8.226476669,"rot_x":-0.090064317,"rot_y":-0.39782849,"rot_z":-0.336808592}
mqtt.js:5 s1: {"acc_x":1.388636947,"acc_y":-0.782903969,"acc_z":8.913613319,"rot_x":-0.077007659,"rot_y":-0.604070425,"rot_z":-0.314425707}
mqtt.js:5 s1: {"acc_x":1.470039845,"acc_y":-0.804451764,"acc_z":9.739612579,"rot_x":-0.067681469,"rot_y":-0.784199059,"rot_z":-0.347200602}
mqtt.js:5 s1: {"acc_x":2.051830769,"acc_y":-0.89064306,"acc_z":10.70687008,"rot_x":-0.150817752,"rot_y":-0.996836126,"rot_z":-0.26806125}
mqtt.js:5 s1: {"acc_x":1.987187386,"acc_y":-0.495599747,"acc_z":11.62624359,"rot_x":-0.431935668,"rot_y":-1.302202106,"rot_z":-0.274989277}
mqtt.js:5 s1: {"acc_x":1.537077546,"acc_y":-1.26413846,"acc_z":12.72039318,"rot_x":0.006928025,"rot_y":-1.384539127,"rot_z":-0.361856043}
mqtt.js:5 s1: {"acc_x":1.235408068,"acc_y":-0.861912608,"acc_z":13.55118179,"rot_x":-0.180128634,"rot_y":-1.438630939,"rot_z":-0.296572745}
mqtt.js:5 s1: {"acc_x":0.67037648,"acc_y":-0.543483794,"acc_z":14.31493187,"rot_x":0.245944872,"rot_y":-1.363754988,"rot_z":-0.263264924}
mqtt.js:5 s1: {"acc_x":0.08379706,"acc_y":-0.287304193,"acc_z":14.74828243,"rot_x":0.056756508,"rot_y":-1.449023008,"rot_z":-0.381840736}
mqtt.js:5 s1: {"acc_x":0.368707061,"acc_y":-0.031124622,"acc_z":14.99727917,"rot_x":0.05249311,"rot_y":-1.468208313,"rot_z":-0.548646212}
mqtt.js:5 s1: {"acc_x":0.92895025,"acc_y":-0.023942016,"acc_z":15.03798103,"rot_x":0.106851459,"rot_y":-1.526830077,"rot_z":-0.507344544}
mqtt.js:5 s1: {"acc_x":0.002394202,"acc_y":0.138863698,"acc_z":14.83447361,"rot_x":0.140159264,"rot_y":-1.523099542,"rot_z":-0.508143961}
mqtt.js:5 s1: {"acc_x":-0.198718742,"acc_y":0.122104287,"acc_z":14.31732655,"rot_x":0.114045948,"rot_y":-1.447957039,"rot_z":-0.543849885}
mqtt.js:5 s1: {"acc_x":0.476446152,"acc_y":0.064643443,"acc_z":13.77144814,"rot_x":0.191320062,"rot_y":-1.328848362,"rot_z":-0.473237365}
mqtt.js:5 s1: {"acc_x":-0.074220255,"acc_y":-0.011971008,"acc_z":12.99093819,"rot_x":0.226759583,"rot_y":-1.26223278,"rot_z":-0.376244992}
mqtt.js:5 s1: {"acc_x":-0.29688102,"acc_y":-0.126892686,"acc_z":12.03086376,"rot_x":0.228891268,"rot_y":-1.119408846,"rot_z":-0.324817777}
mqtt.js:5 s1: {"acc_x":-0.735019922,"acc_y":-0.239420176,"acc_z":10.99656868,"rot_x":0.220630929,"rot_y":-0.919029117,"rot_z":-0.262998462}
mqtt.js:5 s1: {"acc_x":-0.411802679,"acc_y":-0.201112941,"acc_z":10.12747288,"rot_x":0.202245027,"rot_y":-0.75622052,"rot_z":-0.227558956}
mqtt.js:5 s1: {"acc_x":-0.545877993,"acc_y":-0.289698392,"acc_z":9.165003777,"rot_x":0.20464319,"rot_y":-0.589681447,"rot_z":-0.184658498}
mqtt.js:5 s1: {"acc_x":0.074220255,"acc_y":-0.155623108,"acc_z":8.47786808,"rot_x":0.157212853,"rot_y":-0.447390497,"rot_z":-0.100189894}
mqtt.js:5 s1: {"acc_x":-0.237025961,"acc_y":-0.234631762,"acc_z":7.860164165,"rot_x":0.071145482,"rot_y":-0.271525264,"rot_z":0.018918836}
mqtt.js:5 s1: {"acc_x":-0.304063618,"acc_y":-0.500388145,"acc_z":7.402871609,"rot_x":0.025846859,"rot_y":-0.12230628,"rot_z":0.104719758}
mqtt.js:5 s1: {"acc_x":-0.541089594,"acc_y":-0.600944638,"acc_z":7.177816868,"rot_x":-0.049295556,"rot_y":-0.008526799,"rot_z":0.146554366}
mqtt.js:5 s1: {"acc_x":-0.248996973,"acc_y":-0.447715729,"acc_z":7.122750282,"rot_x":-0.11298009,"rot_y":0.122839205,"rot_z":0.35732618}
mqtt.js:5 s1: {"acc_x":-0.395043284,"acc_y":-0.469263524,"acc_z":7.278373241,"rot_x":-0.127901986,"rot_y":0.259267986,"rot_z":0.324284822}
mqtt.js:5 s1: {"acc_x":-0.591367841,"acc_y":-0.311246216,"acc_z":7.678205013,"rot_x":-0.180928022,"rot_y":0.381840736,"rot_z":0.3885023}
mqtt.js:5 s1: {"acc_x":-0.40940848,"acc_y":-0.208295554,"acc_z":8.279149055,"rot_x":-0.188388973,"rot_y":0.50281471,"rot_z":0.453252673}
mqtt.js:5 s1: {"acc_x":-0.462080926,"acc_y":-0.1316811,"acc_z":9.009381294,"rot_x":-0.171068922,"rot_y":0.615261853,"rot_z":0.520934165}
mqtt.js:5 s1: {"acc_x":-0.263362199,"acc_y":-0.045489833,"acc_z":9.842563629,"rot_x":-0.14388974,"rot_y":0.734637022,"rot_z":0.571562052}
mqtt.js:5 s1: {"acc_x":-0.438138902,"acc_y":0.213083953,"acc_z":10.76193619,"rot_x":-0.089264929,"rot_y":0.825767219,"rot_z":0.600872934}
mqtt.js:5 s1: {"acc_x":-0.608127236,"acc_y":0.426167905,"acc_z":11.81299114,"rot_x":-0.025047474,"rot_y":0.95047164,"rot_z":0.635246515}
mqtt.js:5 s1: {"acc_x":-1.089361787,"acc_y":0.277727395,"acc_z":12.64617348,"rot_x":0.019185297,"rot_y":1.112214327,"rot_z":0.549445629}
mqtt.js:5 s1: {"acc_x":-0.773327172,"acc_y":0.811634362,"acc_z":13.63258457,"rot_x":0.115644716,"rot_y":1.25077486,"rot_z":0.383972436}
mqtt.js:5 s1: {"acc_x":-0.457292527,"acc_y":0.234631762,"acc_z":14.39394093,"rot_x":0.248609498,"rot_y":1.349366069,"rot_z":0.301369071}
mqtt.js:5 s1: {"acc_x":-0.10295067,"acc_y":0.490811348,"acc_z":15.03558636,"rot_x":0.336275637,"rot_y":1.451687694,"rot_z":0.119375192}
mqtt.js:5 s1: {"acc_x":0.33279404,"acc_y":0.378283858,"acc_z":15.35401535,"rot_x":0.403690636,"rot_y":1.572928071,"rot_z":0.034906585}
mqtt.js:5 s1: {"acc_x":0.337582439,"acc_y":1.098938584,"acc_z":15.25585365,"rot_x":0.866802454,"rot_y":1.662992239,"rot_z":-0.030643184}
mqtt.js:5 s1: {"acc_x":0.866701007,"acc_y":1.903390408,"acc_z":15.1768446,"rot_x":1.367218971,"rot_y":1.596376777,"rot_z":-0.027179174}
mqtt.js:5 s1: {"acc_x":1.364694953,"acc_y":2.331952572,"acc_z":14.68124485,"rot_x":1.557739615,"rot_y":1.510575891,"rot_z":-0.058888208}
mqtt.js:5 s1: {"acc_x":1.601720929,"acc_y":2.987963676,"acc_z":13.69722748,"rot_x":1.437298536,"rot_y":1.38480556,"rot_z":-0.312560499}
mqtt.js:5 s1: {"acc_x":2.319981337,"acc_y":3.165134668,"acc_z":12.93108368,"rot_x":1.432768822,"rot_y":1.171635509,"rot_z":-0.550777912}
mqtt.js:5 s1: {"acc_x":2.394201756,"acc_y":3.473986626,"acc_z":11.54244614,"rot_x":1.089565158,"rot_y":0.849215925,"rot_z":-1.14792037}
mqtt.js:5 s1: {"acc_x":2.188300371,"acc_y":5.935225964,"acc_z":9.531316757,"rot_x":1.384006023,"rot_y":0.94114548,"rot_z":-0.021316998}
mqtt.js:5 s1: {"acc_x":3.921702385,"acc_y":1.78368032,"acc_z":8.640673637,"rot_x":0.700796306,"rot_y":1.167372108,"rot_z":-0.394098014}
mqtt.js:5 s1: {"acc_x":-0.232237563,"acc_y":3.739742994,"acc_z":6.698976517,"rot_x":1.037338495,"rot_y":1.883889794,"rot_z":0.181993872}
mqtt.js:5 s1: {"acc_x":-0.378283858,"acc_y":3.153163671,"acc_z":8.456320763,"rot_x":0.642441094,"rot_y":2.437865019,"rot_z":-0.200646251}
mqtt.js:5 s1: {"acc_x":-1.793257117,"acc_y":2.298433542,"acc_z":9.835380554,"rot_x":-0.547313929,"rot_y":1.050661564,"rot_z":-0.616594136}
mqtt.js:5 s1: {"acc_x":-2.782062292,"acc_y":-0.952892303,"acc_z":10.85052204,"rot_x":-1.64966917,"rot_y":-0.332811654,"rot_z":-1.609433293}
mqtt.js:5 s1: {"acc_x":-4.213795185,"acc_y":1.690306425,"acc_z":13.97734928,"rot_x":-1.96862483,"rot_y":-1.14685452,"rot_z":-1.346434832}
mqtt.js:5 s1: {"acc_x":-7.733271599,"acc_y":8.327033043,"acc_z":18.47365952,"rot_x":-1.002698302,"rot_y":-2.174600363,"rot_z":-0.067415006}
mqtt.js:5 s1: {"acc_x":-6.344634533,"acc_y":14.69321537,"acc_z":16.21592903,"rot_x":0.189987749,"rot_y":-1.820738077,"rot_z":2.090931177}
mqtt.js:5 s1: {"acc_x":1.137245774,"acc_y":13.73074722,"acc_z":11.41794777,"rot_x":0.331479341,"rot_y":-1.6994977,"rot_z":4.153883457}
mqtt.js:5 s1: {"acc_x":5.295974255,"acc_y":6.979097843,"acc_z":4.541800499,"rot_x":0.819105625,"rot_y":-2.737901926,"rot_z":4.023849964}
mqtt.js:5 s1: {"acc_x":2.403778553,"acc_y":4.620809078,"acc_z":0.344765037,"rot_x":1.737068892,"rot_y":-4.117111683,"rot_z":3.364621639}
mqtt.js:5 s1: {"acc_x":-2.82036972,"acc_y":0.687135875,"acc_z":-2.48996973,"rot_x":1.151650906,"rot_y":-3.218067408,"rot_z":2.071479321}
mqtt.js:5 s1: {"acc_x":-0.888248801,"acc_y":1.529894829,"acc_z":-1.170764685,"rot_x":0.650168419,"rot_y":-0.658961713,"rot_z":3.042468786}
mqtt.js:5 s1: {"acc_x":3.478775024,"acc_y":0.921767652,"acc_z":5.008669853,"rot_x":0.766879022,"rot_y":0.262731999,"rot_z":2.49728632}
mqtt.js:5 s1: {"acc_x":5.123591423,"acc_y":0.620098233,"acc_z":5.518634796,"rot_x":0.077540584,"rot_y":-0.653632462,"rot_z":1.935317039}
mqtt.js:5 s1: {"acc_x":5.729324818,"acc_y":0.282515794,"acc_z":4.326322556,"rot_x":0.547047496,"rot_y":-0.628318548,"rot_z":0.653366029}
mqtt.js:5 s1: {"acc_x":3.538630009,"acc_y":-0.553060591,"acc_z":4.606443882,"rot_x":0.012790199,"rot_y":0.112447165,"rot_z":-1.515638471}
mqtt.js:5 s1: {"acc_x":1.838746905,"acc_y":-0.998382092,"acc_z":6.974309444,"rot_x":-1.647804022,"rot_y":1.035473228,"rot_z":-2.583620071}
mqtt.js:5 s1: {"acc_x":-2.731784105,"acc_y":1.951274395,"acc_z":13.68046856,"rot_x":-3.244180679,"rot_y":1.520168424,"rot_z":-3.170370579}
mqtt.js:5 s1: {"acc_x":-3.064578056,"acc_y":-0.239420176,"acc_z":14.43224812,"rot_x":-2.048830032,"rot_y":0.76661253,"rot_z":-3.792027712}
mqtt.js:5 s1: {"acc_x":-3.833117008,"acc_y":5.861005783,"acc_z":17.58301735,"rot_x":-0.002398162,"rot_y":0.919562042,"rot_z":-4.595678806}
mqtt.js:5 s1: {"acc_x":-5.025429249,"acc_y":5.272032261,"acc_z":12.63180828,"rot_x":0.992306292,"rot_y":-0.551044405,"rot_z":-4.225562096}
mqtt.js:5 s1: {"acc_x":-4.606443882,"acc_y":8.453926086,"acc_z":11.9710083,"rot_x":0.44978866,"rot_y":-0.536122501,"rot_z":-2.818107128}
mqtt.js:5 s1: {"acc_x":-2.102109194,"acc_y":8.951920509,"acc_z":9.095572472,"rot_x":1.059987783,"rot_y":-0.848416567,"rot_z":-1.597442627}
mqtt.js:5 s1: {"acc_x":0.768538773,"acc_y":5.137956619,"acc_z":7.268796444,"rot_x":-1.506045938,"rot_y":-1.437831521,"rot_z":-1.211071968}
mqtt.js:5 s1: {"acc_x":1.381454349,"acc_y":4.38617754,"acc_z":9.038111687,"rot_x":-2.477834702,"rot_y":-1.508710623,"rot_z":-2.607335329}
mqtt.js:5 s1: {"acc_x":-0.605733037,"acc_y":5.825092793,"acc_z":9.751583099,"rot_x":-0.114578865,"rot_y":-1.075442553,"rot_z":-4.987378597}
mqtt.js:5 s1: {"acc_x":-1.817199111,"acc_y":7.783549786,"acc_z":6.636727333,"rot_x":2.614529848,"rot_y":-0.898245037,"rot_z":-5.86617136}
mqtt.js:5 s1: {"acc_x":-1.769315004,"acc_y":8.913613319,"acc_z":3.045424461,"rot_x":0.95047164,"rot_y":-2.675549746,"rot_z":-4.340940475}
mqtt.js:5 s1: {"acc_x":-6.91445446,"acc_y":10.61349583,"acc_z":2.059013367,"rot_x":0.103653908,"rot_y":-3.084036589,"rot_z":-2.081604958}
mqtt.js:5 s1: {"acc_x":-8.791508675,"acc_y":8.279149055,"acc_z":5.415684223,"rot_x":-0.353329241,"rot_y":0.307231247,"rot_z":-0.837491572}
mqtt.js:5 s1: {"acc_x":-8.719682693,"acc_y":5.149928093,"acc_z":14.75067711,"rot_x":-0.704793274,"rot_y":2.105319977,"rot_z":1.008027554}
mqtt.js:5 s1: {"acc_x":-6.248866558,"acc_y":3.512293816,"acc_z":15.28458405,"rot_x":-0.871865213,"rot_y":0.72824192,"rot_z":3.053127289}
mqtt.js:5 s1: {"acc_x":-4.084507942,"acc_y":1.371877551,"acc_z":9.998186111,"rot_x":-0.174266458,"rot_y":-0.293641627,"rot_z":4.154150009}
